review_text,rating,product_name,raw_category,source,sentiment
"As of this writing, I ve been using these for over a year and have yet to experience any problems or issues related to dead batteries or battery life.I use a battery tester, and randomly measured a few, new, out of the box, and they all rated at 100. Happy with these batteries.",5.0,AmazonBasics AAA Performance Alkaline Batteries (36 Count),AA,primary,positive
"These batteries are very iffy. I have Mag-Lite s that require 3 AAA batteries and they have always drained the batteries equally, not with these batteries. I tried using my Mag-Lite this AM and it was dead. Did I leave it on and set it on it s end Nope. I checked the batteries and 2 of them were still good, but the 3rd wouldn t even register any voltage. This has happened 3 times with 2 different Mag-Lite XL200 s and these batteries.Will not purchase again.",2.0,AmazonBasics AAA Performance Alkaline Batteries (36 Count),AA,primary,negative
Batteries are holding up well with my battery operated LED candles.,5.0,AmazonBasics AAA Performance Alkaline Batteries (36 Count),AA,primary,positive
Good life battery,5.0,AmazonBasics AA Performance Alkaline Batteries (48 Count) - Packaging May Vary,AA,primary,positive
"This is a great low priced tablet, especiall if you are an Amazon Prime member.",5.0,"Fire Tablet, 7 Display, Wi - Fi, 8 GB - Includes Special Offers, Magenta",Fire Tablets,primary,positive
Easy to setup. Up and running in no time.Very helpful to have.,5.0,"Amazon Fire Tv, Amazon Fire Tv",Stereos,primary,positive
Love these batteries.,5.0,AmazonBasics AA Performance Alkaline Batteries (48 Count) - Packaging May Vary,AA,primary,positive
Love this tablet. So easy to use. My kids love it.,5.0,"Fire Tablet, 7 Display, Wi - Fi, 8 GB - Includes Special Offers, Magenta",Fire Tablets,primary,positive
"Great tablet for kids. The free replacement policy is great as well. Does take a bit of effort to set up, but pretty easy for the kids to use.",4.0,"Fire Kids Edition Tablet, 7 Display, Wi - Fi, 16 GB, Blue Kid - Proof Case",Computers,primary,positive
For those that have Prime this is almost a must have. Keeps all your Amazon stuff in one place.,5.0,"Brand New Amazon Kindle Fire 16gb 7"" Ips Display Tablet Wifi 16 Gb Blue",Computers/Tablets & Networking,primary,positive
Purchased for a 5 year old. Perfect for kids and as a first tablet.,5.0,"Fire Kids Edition Tablet, 7 Display, Wi - Fi, 16 GB, Blue Kid - Proof Case",Computers,primary,positive
its a very good product that I am glad I bought for reading,4.0,Amazon Kindle Paperwhite - eBook reader - 4 GB - 6 monochrome Paperwhite - touchscreen - Wi - Fi - black,Walmart for Business,primary,positive
At this price point it is very good. But having being used ipad the display doesnt look sharp. Amazon app store lacks content. Overall good for my 9 yr old.,3.0,"Fire HD 8 Tablet with Alexa, 8 HD Display, 16 GB, Tangerine - with Special Offers",Fire Tablets,primary,neutral
Works well for the intended purpose. Easy to download the app I required for additional viewing.,4.0,Unknown Product,Back To College,primary,positive
"Last less than a quarter as long as even off-brand batteries such as Rayovac, creating a lot more waste. With name brand batteries my wireless keyboard would last almost a year these amazon branded batteries last only 2-3 months. If they weren t considered hazardous waste when spent I might have given them 2 stars on account of there low price, but when you consider how hard it is to dispose of batteries properly (and how much time you ll spend changing them out of your favorite devices) they re really not worth your time",1.0,AmazonBasics AAA Performance Alkaline Batteries (36 Count),AA,primary,negative
"was not sure what to expect as im generally not too savvy with technology. this amazon echo product is fairly easy to get started using and can be really helpful when you are multi tasking. I normally don t have a free hand and when you cant have your tablet with you at all times, the amazon echo fills that void quickly. I would suggest everyone with the internet to have one of these in their homes.",5.0,"Echo (White), Echo (White)",Stereos,primary,positive
"I like the fire tablet. It is great for checking emails, playing games, etc. Without the expensive cost.",4.0,"Fire Tablet, 7 Display, Wi - Fi, 8 GB - Includes Special Offers, Magenta",Fire Tablets,primary,positive
Great for streaming TV/ movies. I hardly ever have interruptions.,4.0,Unknown Product,Back To College,primary,positive
Works great time to cut off the dish this is all I need to watch you get everything.,5.0,Unknown Product,Back To College,primary,positive
Great quality great movies the Amazon Fire Stick in the Amazon box is the best thing I ever had,5.0,Unknown Product,Back To College,primary,positive
This toy is a look into the future on fuel energy.,5.0,"All - New Fire HD 8 Tablet with Alexa, 8 HD Display, 32 GB, Marine Blue - with Special Offers",Fire Tablets,primary,positive
Works great with my new kindle!,5.0,"All - New Kindle E - reader - Black, 6 Glare - Free Touchscreen Display, Wi - Fi - Includes Special Offers",Amazon Devices & Accessories,primary,positive
I bought this for my daughter. I like it all in all. I was unaware that it didn t have a google to do internet searching.,4.0,Brand New Amazon Kindle Fire 16gb 7 Ips Display Tablet Wifi 16 Gb Blue,Computers/Tablets & Networking,primary,positive
It was easy to setup and fun to interact with Alexa.,5.0,"Amazon Fire Tv, Amazon Fire Tv",Stereos,primary,positive
Perfect tablet for the avid reader. Great functions light blue light filter to safeguard circadian rhythm so you do not have trouble falling asleep after being exposed to the light of a typical tablet. Easy to use and fits perfectly in hand and not too heavy for one handed use.,5.0,"All - New Fire HD 8 Tablet, 8 HD Display, Wi - Fi, 32 GB - Includes Special Offers, Magenta",Tablets,primary,positive
I have several AmazonBasics cables now and they ve all been great. This particular AmazonBasics USB 3.0 cable is 9 feet long and delivers full bandwidth between my Mac and my external hard drive.Build quality is very good and the connectors are gold-plated to ensure data contact. AmazonBasics is well worth considering when shopping for cables.,5.0,AmazonBasics USB 3.0 Cable - A - Male to B - Male - 6 Feet (1.8 Meters),Accessories,primary,positive
Batteries are great.....I need them for my work for my camera for taking pictures on the job of properties. Nice to have extras on hand at an affordable price. I don t see that they last any less time than the name brand batteries.,3.0,AmazonBasics AAA Performance Alkaline Batteries (36 Count),AA,primary,neutral
Great tablet for under $100. HD quality and it works just as good as any tablet.,4.0,"All - New Fire HD 8 Tablet, 8"" HD Display, Wi - Fi, 16 GB - Includes Special Offers, Magenta",Electronics,primary,positive
My son loves it !Never had this when I was his age,5.0,"Fire Kids Edition Tablet, 7 Display, Wi - Fi, 16 GB, Pink Kid - Proof Case",Fire Tablets,primary,positive
was just the right size for my husband.and was just what he wanted.was a very good buy for him.thanks alot.,5.0,"Fire Tablet, 7 Display, Wi - Fi, 8 GB - Includes Special Offers, Magenta",Fire Tablets,primary,positive
"Very easy to set up and use. Good sound. I use this daily for music, lists and reminders.",5.0,"Echo (White), Echo (White)",Stereos,primary,positive
We purchased this as a gift. Researching and word of mouth led us to purchase this one. Very user friendly.,5.0,"All - New Fire HD 8 Tablet, 8 HD Display, Wi - Fi, 16 GB - Includes Special Offers, Black",Fire Tablets,primary,positive
Does not have answers for a lot of questions. But is fun to have,3.0,"Amazon Fire Tv, Amazon Fire Tv",Stereos,primary,neutral
Like being able to read outside and easier to take with me when traveling than a book is.,5.0,"Amazon Fire Hd 8 8in Tablet 16gb Black B018szt3bk 6th Gen (2016) Android, Amazon Fire Hd 8 8in Tablet 16gb Black B018szt3bk 6th Gen (2016) Android",Walmart for Business,primary,positive
I find this tablet very easy to use and easy to read at night,5.0,Amazon Kindle Paperwhite - eBook reader - 4 GB - 6 monochrome Paperwhite - touchscreen - Wi - Fi - black,Walmart for Business,primary,positive
I bought this for my granddaughter who is 2 and was able to load all the apps and books as well as her Disney movies. So far she has been unable to access anything that I don t want her to. And it has been able to withstand frequent toddler abuse.. Aka.. Throwing it. Definitely recommend.,5.0,"Fire Kids Edition Tablet, 7 Display, Wi - Fi, 16 GB, Green Kid - Proof Case",Tablets,primary,positive
This portable Bluetooth speaker has an excellent sound which can be taken anywhere unlike the Echo and Echo Dot which both have to be plugged in. Want to listen to a favorite song? Just ask Alexa. Want to know the weather report? Just ask Alexa. Want to know your horoscope? Just ask Alexa. A lot of fun and entertainment at a great price. Big things come in small packages!,5.0,Unknown Product,Featured Brands,primary,positive
This is not like other android tablets in a bad way.,1.0,"Fire Tablet with Alexa, 7 Display, 16 GB, Blue - with Special Offers",Fire Tablets,primary,negative
Alexa is fun but not able to be customized to play your favorite song or tell wife hello hubby loves you,4.0,"Amazon Fire Tv, Amazon Fire Tv",Stereos,primary,positive
nice,5.0,AmazonBasics AA Performance Alkaline Batteries (48 Count) - Packaging May Vary,AA,primary,positive
It has everything I need and the size makes it easy to read.,5.0,Unknown Product,Electronics,primary,positive
Great price and great batteries. Thank you.,5.0,AmazonBasics AA Performance Alkaline Batteries (48 Count) - Packaging May Vary,AA,primary,positive
Great small tablet with great value!Must get one ASAP... You can t beat this price!!,4.0,"Fire Tablet, 7 Display, Wi - Fi, 8 GB - Includes Special Offers, Magenta",Fire Tablets,primary,positive
"Cheap AAA batteries! Haven t had any issue with them so far, I use them in stuff like... my nose hair trimmer.",5.0,AmazonBasics AA Performance Alkaline Batteries (48 Count) - Packaging May Vary,AA,primary,positive
I love the kindle voyage. My favorite feature is that I can read while at the beach!! It s also very lightweight and fits in one hand.,5.0,"Fire Tablet, 7 Display, Wi - Fi, 8 GB - Includes Special Offers, Black",Walmart for Business,primary,positive
"Love Amazon, but these batteries lasted 3 weeks in my Roku controller, Family Dollar store brand lasted longer. I do have A LOT of them though. Well played planned obsolescence :l",2.0,AmazonBasics AAA Performance Alkaline Batteries (36 Count),AA,primary,negative
Had a prob with original one I purchased and Bedt Buy replaced it hassle free,5.0,"All - New Fire HD 8 Tablet, 8 HD Display, Wi - Fi, 32 GB - Includes Special Offers, Magenta",Tablets,primary,positive
I love my Kindle fire. Had a Kindle and it disappeared. Enjoy not having to go to library for books. I get a great selection of books every day.,5.0,"All - New Fire HD 8 Tablet, 8 HD Display, Wi - Fi, 16 GB - Includes Special Offers, Black",Fire Tablets,primary,positive
"Arrived on time, no damage. Great batteries for the price.",5.0,AmazonBasics AAA Performance Alkaline Batteries (36 Count),AA,primary,positive
I love everything about this tablet except for the camera it s only a 2 MP.,4.0,"Fire Tablet, 7 Display, Wi - Fi, 8 GB - Includes Special Offers, Magenta",Fire Tablets,primary,positive
No issues with the batteries,5.0,AmazonBasics AAA Performance Alkaline Batteries (36 Count),AA,primary,positive
This is a great deal. I have kids and So many of their toys are battery operated. These don t seem to work any better or worse than name brand batteries. There s no reason to pay more for something you ll be changing out often anyway.,5.0,AmazonBasics AAA Performance Alkaline Batteries (36 Count),AA,primary,positive
I got these for my kids Christmas present and there perfect for them. They download their games on to them and play during road trips and also download learning apps from school so they can stay ahead.,5.0,"Fire Tablet, 7 Display, Wi - Fi, 8 GB - Includes Special Offers, Magenta",Fire Tablets,primary,positive
It s okJust okHate the ads and the home screenNot as good as original,4.0,Amazon Kindle Paperwhite - eBook reader - 4 GB - 6 monochrome Paperwhite - touchscreen - Wi - Fi - black,Walmart for Business,primary,positive
"Love it fast , pictures look fab. love the battery life",5.0,"All - New Fire HD 8 Tablet, 8 HD Display, Wi - Fi, 16 GB - Includes Special Offers, Magenta",Electronics,primary,positive
"Wonderful product!! User friendly and if help is needed, online support is available.",5.0,"Fire Tablet, 7 Display, Wi - Fi, 8 GB - Includes Special Offers, Magenta",Fire Tablets,primary,positive
I liked it a lot for my four year old and it is kids proof,5.0,"Fire Kids Edition Tablet, 7 Display, Wi - Fi, 16 GB, Green Kid - Proof Case",Tablets,primary,positive
If you re looking for something basic at a good price then these are for u. These are not iPad quality but if u have prime then it s well worth it.,4.0,"All - New Fire HD 8 Tablet, 8 HD Display, Wi - Fi, 32 GB - Includes Special Offers, Blue",Fire Tablets,primary,positive
Such a great value. I buy all my batteries from Amazon and only get this brand.,5.0,AmazonBasics AAA Performance Alkaline Batteries (36 Count),AA,primary,positive
"This is my third Kindle, quite easy to use, kid friendly",4.0,"Fire Tablet, 7 Display, Wi - Fi, 8 GB - Includes Special Offers, Magenta",Fire Tablets,primary,positive
The best in the market as far as e-reader goes. The text is sharp with the new screen. The backlight are useful for reading at night without lights on. Integration with the Kindle store makes it very easy to instantly purchase and read the book.I have one small build quailty issue with the unit that I have. The left side of the Kindle creaks when I squeeze on it. Exchanged for a new unit but problem still persists (although not as bad).,4.0,Amazon Kindle Paperwhite - eBook reader - 4 GB - 6 monochrome Paperwhite - touchscreen - Wi - Fi - black,Walmart for Business,primary,positive
"This is a very good tablet for use with streaming. It does lack some apps like youtube however, since it isn t connected to the google play store. If you are an amazon prime member this is an extremely good buy since you can easily access all of your prime benefits right from the home screen.",5.0,"Fire Tablet, 7 Display, Wi - Fi, 8 GB - Includes Special Offers, Magenta",Fire Tablets,primary,positive
"Love it! I use it for weather, Pandora, you can play games and ask it recipes. It s great.",5.0,"Amazon - Amazon Tap Portable Bluetooth and Wi - Fi Speaker - Black, Amazon - Amazon Tap Portable Bluetooth and Wi - Fi Speaker - Black",Stereos,primary,positive
"If you are looking for a tablet to read books, play games, watch netflix or amazon, and to travel with, look no further. This tablet has everything you need. it does not have the greatest camera, but you have a phone for that. No reason to spend more money on anything else.",5.0,"Fire HD 8 Tablet with Alexa, 8 HD Display, 16 GB, Tangerine - with Special Offers",Fire Tablets,primary,positive
Exactly as described. I ll learn if they last or not.,5.0,AmazonBasics AAA Performance Alkaline Batteries (36 Count),AA,primary,positive
"I have the Amazon stick but this is much faster and better. I am very happy I purchase the Amazon TV box. I bought this TV box for my bedroom which I spend 90% of my time. It is much faster than my regular Netflix site. I love the idea I can also log on to my Netflix on the TV box, too. I am going to get another one for my family room. Good thing it was on the Labor Day sale (Smile)",5.0,Unknown Product,Back To College,primary,positive
Godchild loves it. He works it very well. Haven t had any problems,5.0,"Brand New Amazon Kindle Fire 16gb 7"" Ips Display Tablet Wifi 16 Gb Blue",Computers/Tablets & Networking,primary,positive
This is by far the best streaming device around. My Chromecast was just given to someone free of charge. That was a waste of money. There isn t much you cant do with this. Couple this with a Prime membership and by by cable.,5.0,Unknown Product,Back To College,primary,positive
love my alexa. i have smart house items that works great with alexa and makes life a lil stress free,5.0,"Echo (White), Echo (White)",Stereos,primary,positive
This could be a 5 star as well- just a jump in price for a bit better sound as the Dot. Functions are the same but it s sound is def better-,4.0,"Amazon Fire Tv, Amazon Fire Tv",Stereos,primary,positive
Unbeatable price for this battery quality. Easily last as long as the Duracell and such and is much cheaper. Won t buy batteries anywhere else anymore,5.0,AmazonBasics AAA Performance Alkaline Batteries (36 Count),AA,primary,positive
"Perfect for a little book reader, movie viewer, or small game player. Can t beat it for the price.",5.0,"Fire Tablet, 7 Display, Wi - Fi, 8 GB - Includes Special Offers, Magenta",Fire Tablets,primary,positive
"I had the first gen kindle and this is soooo much better. Screen looks better, the front and back camera is cool, the side control buttons are convenient and so far the tablet works great. It was an easy setup and transfer from my Amazon acct. I bought it originally for my 4 yr old so the parental controls are great too.",5.0,"Fire Tablet, 7 Display, Wi - Fi, 8 GB - Includes Special Offers, Magenta",Fire Tablets,primary,positive
"I was hesitant to buy, thinking the tablet would not be very good, but for the price of $49.99, it s been great for my teenage niece. She uses it to watch movies, FB, You Tube, and web.",5.0,"Fire Tablet, 7 Display, Wi - Fi, 8 GB - Includes Special Offers, Magenta",Fire Tablets,primary,positive
Bought for my 3 year old and she loves it! Haven t had any issues!,4.0,"Fire Kids Edition Tablet, 7 Display, Wi - Fi, 16 GB, Green Kid - Proof Case",Tablets,primary,positive
"Very fast, very functional. Love the e-reader function. Movies, music and internet work great. LOVE IT!",5.0,"All - New Fire HD 8 Tablet, 8 HD Display, Wi - Fi, 16 GB - Includes Special Offers, Black",Fire Tablets,primary,positive
"I ve always used AppleTV but now that I ve started using this, I got to it before my Apple TV. More options to choose from. And I can still cast my MacBook to it! (Gotta install an app though) but I like it.",5.0,Unknown Product,Back To College,primary,positive
Tablet is for my 2 year old son and it has great learning game so for him! He s learning to read and so much more!,5.0,"Fire Kids Edition Tablet, 7 Display, Wi - Fi, 16 GB, Green Kid - Proof Case",Tablets,primary,positive
Purchased to stay in touch with family while traveling.,5.0,"Amazon Echo Show Alexa - enabled Bluetooth Speaker with 7"" Screen",Computers,primary,positive
It s hard to give a review cause it s stuck on Amazon home screen. It might be a good product but I don t know,1.0,Unknown Product,Back To College,primary,negative
This was a birthday present and it was ideal for a traveler to read ebooks on while on the rood,5.0,"All - New Fire HD 8 Tablet, 8 HD Display, Wi - Fi, 16 GB - Includes Special Offers, Magenta",Electronics,primary,positive
"My 2 1/2 year old loves this. He can t break it with the thick rubber case, and we can control the games he plays, and how long he plays. Great mix of educational and fun items. The only problem is the charging cord is a bit too easy to break. If they pull it off the charger, it makes the port loose and you have to get the right angle for it to charge.",4.0,"Fire Kids Edition Tablet, 7 Display, Wi - Fi, 16 GB, Blue Kid - Proof Case",Computers,primary,positive
"Thanks to a knowledgeable, low-pressure salesperson, I was ready to buy my first tablet. This one was the right price (on sale) and I have not been disappointed. Every few days I learn more ways to use it besides checking e-mails & checking out library books & audio books. It stays charged for days, even with regular use. I recommend it as an inexpensive and very satisfactory alternative to more expensive tablets.",5.0,"All - New Fire HD 8 Tablet, 8 HD Display, Wi - Fi, 16 GB - Includes Special Offers, Magenta",Electronics,primary,positive
"But, I can t figure out how to move books I ve read, into the Cloud? I don t like clutter, and the more I read and download, just clogs up.",4.0,"All - New Fire HD 8 Tablet, 8 HD Display, Wi - Fi, 32 GB - Includes Special Offers, Black",Fire Tablets,primary,positive
Tablet is great does everythimg as it should. Great entry level tablet,5.0,"All - New Fire HD 8 Tablet, 8 HD Display, Wi - Fi, 16 GB - Includes Special Offers, Magenta",Electronics,primary,positive
Grandson is enjoying the new games on it. It s much bigger than his ipod.,5.0,"All - New Fire HD 8 Tablet, 8 HD Display, Wi - Fi, 32 GB - Includes Special Offers, Magenta",Fire Tablets,primary,positive
"love my new echo, works well pros easy to install does not take to much room. The sound is crisp. My only grip is i paid 50.00 more then what the price was in xmas.",5.0,"Amazon Fire Tv, Amazon Fire Tv",Stereos,primary,positive
I bought this for my mother for Christmas. She is not the most technological advanced individual. She really wanted a tablet and this one works great and is super easy to use. I went to program it for her and she insisted on doing it herself. She was able to no problem!,5.0,"All - New Fire HD 8 Tablet, 8 HD Display, Wi - Fi, 16 GB - Includes Special Offers, Black",Fire Tablets,primary,positive
Great batteries at a great value.,5.0,AmazonBasics AAA Performance Alkaline Batteries (36 Count),AA,primary,positive
"This kindle is lightweight and a great travel, break and extra free time companion. You can read it anywhere. Love it!",5.0,"Kindle Voyage E - reader, 6 High - Resolution Display (300 ppi) with Adaptive Built - in Light, PagePress Sensors, Wi - Fi - Includes Special Offers",Walmart for Business,primary,positive
"If you want a device that performs on command, Alexa is her name.She s a constant companion in the kitchen. She sings, tells jokes, shares recipes, tells stories, quotes Bible verses, gives me the weather forecast and so much more.If you add the additional devices you can control your lights or thermostat. My grandson really likes Alexa because she tells him stories.This inanimate object begins to feel like a real person the longer you have it around.",4.0,"Echo (White), Echo (White)",Stereos,primary,positive
Fire 8 HD 2016 is great. Very easy to maneuver. Easy to use and transition from original Kindle Fire. Much more versatile than the original. Really glad I upgraded.,5.0,"All - New Fire HD 8 Tablet, 8 HD Display, Wi - Fi, 16 GB - Includes Special Offers, Magenta",Electronics,primary,positive
"After reading the reviews I was very skeptical. I mainly use Apple products, but with 5 kids and apple out of my price range this was perfect. I was able to get 4 tablets for the price of 1 Apple iPad. The kids love and they don t mind the commercial. I like that I can manage their fire tablet via my phone and I get emails for everything they download. This was perfect for them. And I would buy it again.",5.0,"Fire Tablet, 7 Display, Wi - Fi, 8 GB - Includes Special Offers, Magenta",Fire Tablets,primary,positive
Perfect for reading in all conditions with great battery life,5.0,Amazon Kindle Paperwhite - eBook reader - 4 GB - 6 monochrome Paperwhite - touchscreen - Wi - Fi - black,Walmart for Business,primary,positive
"I have bought the cheaper tablets for my kids, in the past, however, the sales associate recommend this tablet, and it was only 10 dollars more. So far, I am really impressed by the difference in quality.",5.0,"Fire Tablet, 7 Display, Wi - Fi, 16 GB - Includes Special Offers, Black",Fire Tablets,primary,positive
"Purchased the Echo Show for my wife and she loves it! Full of great information, weather and more. Can control lights and various things at the house. Even askes you the question of the day! Easy set up and to use. Mainly bought it to monitor the Arlo Pro 2 cameras we purchased.",5.0,"Amazon Echo Show Alexa - enabled Bluetooth Speaker with 7"" Screen",Computers,primary,positive
"I LOVE my echo! You can do so much with it. I check the weather every morning, play music on command and my daughter was using it to practice her Italian. Just bought both the kids the echo dots for their birthdays. Everything connects!",5.0,"Echo (White), Echo (White)",Stereos,primary,positive
